0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:33:24 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:33:24 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:48 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:48 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:56 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:56 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:56 -0200] "GET /SiteSGeraldo/images/DomingoFamilia.png HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:58 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:58 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:45:58 -0200] "GET /SiteSGeraldo/images/DomingoFamilia.png HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:38 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:38 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:38 -0200] "GET /images/DomingoFamilia.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:39 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:39 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:39 -0200] "GET /images/DomingoFamilia.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:48 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:48 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:49:48 -0200] "GET /SiteSGeraldo/DomingoFamilia.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:04 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:05 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:05 -0200] "GET /SiteSGeraldo/DomingoFamilia.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:05 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:05 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:05 -0200] "GET /SiteSGeraldo/DomingoFamilia.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:06 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:06 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:06 -0200] "GET /SiteSGeraldo/DomingoFamilia.png HTTP/1.1" 404 1021
